Format name,Starting value for format,Ending value for format,Format value label
AGELTTWO,0,0,UNK
AGELTTWO,2,120,2 YEARS AND OLDER
AGELTTWO,201,201,1 MONTH
AGELTTWO,202,202,2 MONTHS
AGELTTWO,203,203,3 MONTHS
AGELTTWO,204,204,4 MONTHS
AGELTTWO,205,205,5 MONTHS
AGELTTWO,206,206,6 MONTHS
AGELTTWO,207,207,7 MONTHS
AGELTTWO,208,208,8 MONTHS
AGELTTWO,209,209,9 MONTHS
AGELTTWO,210,210,10 MONTHS
AGELTTWO,211,211,11 MONTHS
AGELTTWO,212,212,12 MONTHS
AGELTTWO,213,213,13 MONTHS
AGELTTWO,214,214,14 MONTHS
AGELTTWO,215,215,15 MONTHS
AGELTTWO,216,216,16 MONTHS
AGELTTWO,217,217,17 MONTHS
AGELTTWO,218,218,18 MONTHS
AGELTTWO,219,219,19 MONTHS
AGELTTWO,220,220,20 MONTHS
AGELTTWO,221,221,21 MONTHS
AGELTTWO,222,222,22 MONTHS
AGELTTWO,223,223,23 MONTHS
